Shipment_ID,Order_ID,Shipment_Date,Delivery_Date,Delivery_Time
SHIP07743,ORD07743,2026-06-20,2026-06-30,240
SHIP07744,ORD07744,2026-06-11,2026-06-21,240
SHIP07745,ORD07745,2024-10-15,2024-10-24,216
SHIP07746,ORD07746,2025-01-30,2025-02-01,48
SHIP07747,ORD07747,2026-02-23,2026-03-05,240
SHIP07748,ORD07748,2025-04-01,2025-04-05,96
SHIP07749,ORD07749,2026-04-13,2026-04-25,288
SHIP07750,ORD07750,2025-03-11,2025-03-12,24
SHIP07751,ORD07751,2025-12-25,2026-01-06,288
SHIP07752,ORD07752,2026-06-03,2026-06-09,144
SHIP07753,ORD07753,2026-01-21,2026-01-26,120
SHIP07754,ORD07754,2025-04-04,2025-04-12,192
SHIP07755,ORD07755,2024-10-20,2024-10-21,24
SHIP07756,ORD07756,2026-04-18,2026-04-25,168
SHIP07757,ORD07757,2025-07-03,2025-07-05,48
SHIP07758,ORD07758,2025-06-11,2025-06-19,192
SHIP07759,ORD07759,2026-07-14,2026-07-19,120
SHIP07760,ORD07760,2024-08-22,2024-08-26,96
SHIP07761,ORD07761,2025-04-04,2025-04-05,24
SHIP07762,ORD07762,2025-05-27,2025-05-29,48
SHIP07763,ORD07763,2026-03-01,2026-03-08,168
SHIP07764,ORD07764,2024-10-27,2024-11-07,264
SHIP07765,ORD07765,2024-11-19,2024-11-28,216
SHIP07766,ORD07766,2025-09-14,2025-09-17,72
SHIP07767,ORD07767,2025-12-23,2025-12-24,24
SHIP07768,ORD07768,2026-06-29,2026-07-11,288
SHIP07769,ORD07769,2026-04-15,2026-04-25,240
SHIP07770,ORD07770,2024-11-15,2024-11-24,216
SHIP07771,ORD07771,2024-11-25,2024-12-06,264
SHIP07772,ORD07772,2025-06-27,2025-07-01,96
SHIP07773,ORD07773,2024-10-05,2024-10-09,96
SHIP07774,ORD07774,2025-02-17,2025-02-26,216
SHIP07775,ORD07775,2026-04-27,2026-05-07,240
SHIP07776,ORD07776,2026-01-17,2026-01-26,216
SHIP07777,ORD07777,2024-11-14,2024-11-21,168
SHIP07778,ORD07778,2026-01-21,2026-01-27,144
SHIP07779,ORD07779,2026-04-17,2026-04-29,288
SHIP07780,ORD07780,2025-08-24,2025-09-05,288
SHIP07781,ORD07781,2024-12-06,2024-12-07,24
SHIP07782,ORD07782,2024-10-02,2024-10-03,24
SHIP07783,ORD07783,2025-10-12,2025-10-21,216
SHIP07784,ORD07784,2025-06-03,2025-06-12,216
SHIP07785,ORD07785,2026-06-27,2026-07-04,168
SHIP07786,ORD07786,2025-12-11,2025-12-20,216
SHIP07787,ORD07787,2024-10-20,2024-10-30,240
SHIP07788,ORD07788,2026-05-01,2026-05-07,144
SHIP07789,ORD07789,2025-07-15,2025-07-21,144
SHIP07790,ORD07790,2025-11-21,2025-11-27,144
SHIP07791,ORD07791,2025-03-07,2025-03-14,168
SHIP07792,ORD07792,2026-05-04,2026-05-05,24
SHIP07793,ORD07793,2025-09-07,2025-09-17,240
SHIP07794,ORD07794,2024-12-18,2024-12-25,168
SHIP07795,ORD07795,2024-12-08,2024-12-09,24
SHIP07796,ORD07796,2024-12-06,2024-12-11,120
SHIP07797,ORD07797,2025-10-01,2025-10-12,264
SHIP07798,ORD07798,2025-06-25,2025-06-28,72
SHIP07799,ORD07799,2024-08-18,2024-08-22,96
SHIP07800,ORD07800,2025-02-16,2025-02-19,72
SHIP07801,ORD07801,2025-08-31,2025-09-02,48
SHIP07802,ORD07802,2025-08-25,2025-09-06,288
SHIP07803,ORD07803,2024-07-22,2024-07-27,120
SHIP07804,ORD07804,2026-04-18,2026-04-25,168
SHIP07805,ORD07805,2025-04-22,2025-04-28,144
SHIP07806,ORD07806,2026-05-21,2026-05-31,240
SHIP07807,ORD07807,2025-10-29,2025-11-10,288
SHIP07808,ORD07808,2024-08-25,2024-08-29,96
SHIP07809,ORD07809,2025-06-23,2025-07-05,288
SHIP07810,ORD07810,2026-03-22,2026-04-01,240
SHIP07811,ORD07811,2025-12-27,2026-01-06,240
SHIP07812,ORD07812,2025-02-19,2025-02-24,120
SHIP07813,ORD07813,2024-08-03,2024-08-07,96
SHIP07814,ORD07814,2026-06-17,2026-06-20,72
SHIP07815,ORD07815,2026-02-01,2026-02-03,48
SHIP07816,ORD07816,2025-02-26,2025-03-01,72
SHIP07817,ORD07817,2025-10-18,2025-10-19,24
SHIP07818,ORD07818,2025-11-26,2025-11-30,96
SHIP07819,ORD07819,2025-10-12,2025-10-17,120
SHIP07820,ORD07820,2026-04-04,2026-04-08,96
SHIP07821,ORD07821,2025-05-14,2025-05-19,120
SHIP07822,ORD07822,2025-07-17,2025-07-21,96
SHIP07823,ORD07823,2025-03-26,2025-03-29,72
SHIP07824,ORD07824,2025-09-05,2025-09-12,168
SHIP07825,ORD07825,2024-11-27,2024-12-02,120
SHIP07826,ORD07826,2024-12-18,2024-12-29,264
SHIP07827,ORD07827,2025-09-17,2025-09-21,96
SHIP07828,ORD07828,2026-02-05,2026-02-14,216
SHIP07829,ORD07829,2025-03-26,2025-04-02,168
SHIP07830,ORD07830,2025-04-17,2025-04-26,216
SHIP07831,ORD07831,2025-07-08,2025-07-18,240
SHIP07832,ORD07832,2025-05-01,2025-05-03,48
SHIP07833,ORD07833,2025-08-11,2025-08-12,24
SHIP07834,ORD07834,2026-03-21,2026-04-01,264
SHIP07835,ORD07835,2026-04-02,2026-04-12,240
SHIP07836,ORD07836,2025-07-11,2025-07-13,48
SHIP07837,ORD07837,2025-11-11,2025-11-18,168
SHIP07838,ORD07838,2026-04-09,2026-04-17,192
SHIP07839,ORD07839,2024-09-01,2024-09-12,264
SHIP07840,ORD07840,2026-02-22,2026-02-25,72
SHIP07841,ORD07841,2024-07-24,2024-07-27,72
SHIP07842,ORD07842,2026-02-23,2026-03-06,264
SHIP07843,ORD07843,2026-02-20,2026-02-26,144
SHIP07844,ORD07844,2024-09-10,2024-09-17,168
SHIP07845,ORD07845,2025-12-01,2025-12-07,144
SHIP07846,ORD07846,2025-08-07,2025-08-12,120
SHIP07847,ORD07847,2026-07-15,2026-07-23,192
SHIP07848,ORD07848,2026-03-25,2026-04-01,168
SHIP07849,ORD07849,2025-08-07,2025-08-15,192
SHIP07850,ORD07850,2026-03-28,2026-04-03,144
SHIP07851,ORD07851,2025-12-26,2025-12-28,48
SHIP07852,ORD07852,2026-04-10,2026-04-11,24
SHIP07853,ORD07853,2024-12-25,2025-01-01,168
SHIP07854,ORD07854,2025-05-19,2025-05-29,240
SHIP07855,ORD07855,2024-10-02,2024-10-05,72
SHIP07856,ORD07856,2026-01-22,2026-01-27,120
SHIP07857,ORD07857,2024-09-03,2024-09-09,144
SHIP07858,ORD07858,2025-12-27,2026-01-01,120
SHIP07859,ORD07859,2025-09-15,2025-09-22,168
SHIP07860,ORD07860,2025-09-13,2025-09-17,96
SHIP07861,ORD07861,2025-06-03,2025-06-12,216
SHIP07862,ORD07862,2025-09-21,2025-09-30,216
SHIP07863,ORD07863,2025-12-20,2025-12-29,216
SHIP07864,ORD07864,2025-04-26,2025-05-08,288
SHIP07865,ORD07865,2025-10-12,2025-10-21,216
SHIP07866,ORD07866,2024-08-05,2024-08-17,288
SHIP07867,ORD07867,2026-03-24,2026-04-02,216
SHIP07868,ORD07868,2025-04-29,2025-05-04,120
SHIP07869,ORD07869,2025-02-13,2025-02-16,72
SHIP07870,ORD07870,2025-09-01,2025-09-09,192
SHIP07871,ORD07871,2024-11-28,2024-12-07,216
SHIP07872,ORD07872,2025-05-01,2025-05-12,264
SHIP07873,ORD07873,2026-01-22,2026-01-26,96
SHIP07874,ORD07874,2025-03-27,2025-04-02,144
SHIP07875,ORD07875,2024-11-26,2024-11-27,24
SHIP07876,ORD07876,2025-06-27,2025-07-08,264
SHIP07877,ORD07877,2024-09-03,2024-09-11,192
SHIP07878,ORD07878,2024-10-26,2024-11-04,216
SHIP07879,ORD07879,2025-11-22,2025-11-23,24
SHIP07880,ORD07880,2025-01-06,2025-01-09,72
SHIP07881,ORD07881,2026-06-22,2026-07-03,264
SHIP07882,ORD07882,2025-11-28,2025-12-09,264
SHIP07883,ORD07883,2024-07-31,2024-08-03,72
SHIP07884,ORD07884,2026-03-02,2026-03-14,288
SHIP07885,ORD07885,2025-10-25,2025-11-04,240
SHIP07886,ORD07886,2026-05-14,2026-05-19,120
SHIP07887,ORD07887,2025-11-18,2025-11-30,288
SHIP07888,ORD07888,2025-11-06,2025-11-11,120
SHIP07889,ORD07889,2025-11-19,2025-11-20,24
SHIP07890,ORD07890,2024-12-14,2024-12-22,192
SHIP07891,ORD07891,2025-06-11,2025-06-18,168
SHIP07892,ORD07892,2025-10-28,2025-11-01,96
SHIP07893,ORD07893,2024-08-27,2024-08-30,72
SHIP07894,ORD07894,2024-08-09,2024-08-19,240
SHIP07895,ORD07895,2025-10-22,2025-10-25,72
SHIP07896,ORD07896,2025-06-06,2025-06-16,240
SHIP07897,ORD07897,2026-06-08,2026-06-19,264
SHIP07898,ORD07898,2025-02-06,2025-02-14,192
SHIP07899,ORD07899,2025-05-25,2025-06-02,192
SHIP07900,ORD07900,2025-11-21,2025-11-27,144
SHIP07901,ORD07901,2025-01-26,2025-02-01,144
SHIP07902,ORD07902,2024-12-24,2025-01-01,192
SHIP07903,ORD07903,2026-03-10,2026-03-21,264
SHIP07904,ORD07904,2024-11-18,2024-11-23,120
SHIP07905,ORD07905,2025-04-27,2025-05-07,240
SHIP07906,ORD07906,2025-01-08,2025-01-09,24
SHIP07907,ORD07907,2026-06-16,2026-06-26,240
SHIP07908,ORD07908,2026-06-12,2026-06-20,192
SHIP07909,ORD07909,2025-08-23,2025-08-31,192
SHIP07910,ORD07910,2026-01-20,2026-02-01,288
SHIP07911,ORD07911,2026-01-09,2026-01-12,72
SHIP07912,ORD07912,2024-10-21,2024-10-25,96
SHIP07913,ORD07913,2025-08-07,2025-08-18,264
SHIP07914,ORD07914,2024-08-17,2024-08-27,240
SHIP07915,ORD07915,2025-04-01,2025-04-06,120
SHIP07916,ORD07916,2026-05-17,2026-05-23,144
SHIP07917,ORD07917,2025-08-28,2025-09-03,144
SHIP07918,ORD07918,2025-11-24,2025-11-26,48
SHIP07919,ORD07919,2025-09-10,2025-09-11,24
SHIP07920,ORD07920,2025-04-02,2025-04-08,144
SHIP07921,ORD07921,2026-04-04,2026-04-05,24
SHIP07922,ORD07922,2025-08-20,2025-08-21,24
SHIP07923,ORD07923,2024-08-20,2024-08-31,264
SHIP07924,ORD07924,2024-11-02,2024-11-03,24
SHIP07925,ORD07925,2025-11-23,2025-12-01,192
SHIP07926,ORD07926,2025-11-21,2025-11-30,216
SHIP07927,ORD07927,2025-10-01,2025-10-09,192
SHIP07928,ORD07928,2024-08-31,2024-09-04,96
SHIP07929,ORD07929,2024-11-03,2024-11-07,96
SHIP07930,ORD07930,2024-10-12,2024-10-16,96
SHIP07931,ORD07931,2025-06-01,2025-06-10,216
SHIP07932,ORD07932,2025-05-16,2025-05-26,240
SHIP07933,ORD07933,2025-12-10,2025-12-17,168
SHIP07934,ORD07934,2025-08-07,2025-08-09,48
SHIP07935,ORD07935,2025-06-11,2025-06-17,144
SHIP07936,ORD07936,2025-12-07,2025-12-16,216
SHIP07937,ORD07937,2025-06-25,2025-07-05,240
SHIP07938,ORD07938,2024-10-24,2024-11-01,192
SHIP07939,ORD07939,2025-03-04,2025-03-07,72
SHIP07940,ORD07940,2025-04-06,2025-04-07,24
SHIP07941,ORD07941,2025-06-02,2025-06-11,216
SHIP07942,ORD07942,2025-05-21,2025-05-24,72
SHIP07943,ORD07943,2025-03-08,2025-03-12,96
SHIP07944,ORD07944,2025-03-11,2025-03-19,192
SHIP07945,ORD07945,2025-01-31,2025-02-04,96
SHIP07946,ORD07946,2026-06-26,2026-06-27,24
SHIP07947,ORD07947,2025-02-11,2025-02-22,264
SHIP07948,ORD07948,2024-11-27,2024-12-04,168
SHIP07949,ORD07949,2025-01-29,2025-02-10,288
SHIP07950,ORD07950,2026-06-30,2026-07-04,96
SHIP07951,ORD07951,2025-10-24,2025-10-25,24
SHIP07952,ORD07952,2025-11-02,2025-11-07,120
SHIP07953,ORD07953,2025-02-17,2025-02-26,216
SHIP07954,ORD07954,2024-10-31,2024-11-11,264
SHIP07955,ORD07955,2025-04-23,2025-04-25,48
SHIP07956,ORD07956,2026-04-09,2026-04-14,120
SHIP07957,ORD07957,2026-02-20,2026-03-01,216
SHIP07958,ORD07958,2024-07-27,2024-07-31,96
SHIP07959,ORD07959,2025-10-16,2025-10-28,288
SHIP07960,ORD07960,2025-04-21,2025-04-22,24
SHIP07961,ORD07961,2025-11-02,2025-11-03,24
SHIP07962,ORD07962,2026-04-19,2026-04-24,120
SHIP07963,ORD07963,2026-05-10,2026-05-20,240
SHIP07964,ORD07964,2025-11-20,2025-11-28,192
SHIP07965,ORD07965,2025-07-31,2025-08-10,240
SHIP07966,ORD07966,2026-06-07,2026-06-12,120
SHIP07967,ORD07967,2024-12-30,2025-01-02,72
SHIP07968,ORD07968,2026-07-02,2026-07-09,168
SHIP07969,ORD07969,2026-07-05,2026-07-08,72
SHIP07970,ORD07970,2025-02-05,2025-02-14,216
SHIP07971,ORD07971,2025-09-23,2025-09-27,96
SHIP07972,ORD07972,2025-02-27,2025-03-03,96
SHIP07973,ORD07973,2024-09-25,2024-10-02,168
SHIP07974,ORD07974,2025-12-31,2026-01-12,288
SHIP07975,ORD07975,2025-02-06,2025-02-08,48
SHIP07976,ORD07976,2026-01-20,2026-01-29,216
SHIP07977,ORD07977,2025-03-12,2025-03-20,192
SHIP07978,ORD07978,2026-03-17,2026-03-26,216
SHIP07979,ORD07979,2026-02-17,2026-02-22,120
SHIP07980,ORD07980,2026-01-03,2026-01-08,120
SHIP07981,ORD07981,2026-04-05,2026-04-14,216
SHIP07982,ORD07982,2025-11-10,2025-11-22,288
SHIP07983,ORD07983,2024-11-24,2024-11-28,96
SHIP07984,ORD07984,2025-07-06,2025-07-10,96
SHIP07985,ORD07985,2025-10-12,2025-10-22,240
SHIP07986,ORD07986,2024-08-20,2024-08-21,24
SHIP07987,ORD07987,2025-10-18,2025-10-29,264
SHIP07988,ORD07988,2026-06-26,2026-07-01,120
SHIP07989,ORD07989,2026-05-25,2026-06-04,240
SHIP07990,ORD07990,2026-03-21,2026-03-27,144
SHIP07991,ORD07991,2025-03-28,2025-04-04,168
SHIP07992,ORD07992,2025-12-23,2025-12-29,144
SHIP07993,ORD07993,2025-03-26,2025-04-01,144
SHIP07994,ORD07994,2025-03-30,2025-04-05,144
SHIP07995,ORD07995,2025-06-20,2025-06-23,72
SHIP07996,ORD07996,2025-01-12,2025-01-17,120
SHIP07997,ORD07997,2026-06-20,2026-06-29,216
SHIP07998,ORD07998,2025-07-21,2025-07-28,168
SHIP07999,ORD07999,2024-09-10,2024-09-21,264
SHIP08000,ORD08000,2024-10-11,2024-10-23,288
SHIP08001,ORD08001,2025-01-08,2025-01-15,168
SHIP08002,ORD08002,2025-10-07,2025-10-09,48
SHIP08003,ORD08003,2026-03-07,2026-03-15,192
SHIP08004,ORD08004,2025-10-21,2025-10-29,192
SHIP08005,ORD08005,2024-09-28,2024-10-05,168
SHIP08006,ORD08006,2025-05-13,2025-05-15,48
SHIP08007,ORD08007,2026-04-07,2026-04-09,48
SHIP08008,ORD08008,2025-12-02,2025-12-14,288
SHIP08009,ORD08009,2026-02-21,2026-02-27,144
SHIP08010,ORD08010,2026-04-21,2026-04-24,72
SHIP08011,ORD08011,2025-09-26,2025-10-03,168
SHIP08012,ORD08012,2024-12-12,2024-12-21,216
SHIP08013,ORD08013,2024-08-13,2024-08-21,192
SHIP08014,ORD08014,2024-08-31,2024-09-01,24
SHIP08015,ORD08015,2024-11-25,2024-11-30,120
SHIP08016,ORD08016,2025-04-07,2025-04-08,24
SHIP08017,ORD08017,2025-05-08,2025-05-16,192
SHIP08018,ORD08018,2025-07-08,2025-07-17,216
SHIP08019,ORD08019,2026-01-22,2026-01-31,216
SHIP08020,ORD08020,2025-11-13,2025-11-21,192
SHIP08021,ORD08021,2025-09-17,2025-09-19,48
SHIP08022,ORD08022,2026-04-02,2026-04-13,264
SHIP08023,ORD08023,2025-12-13,2025-12-18,120
SHIP08024,ORD08024,2025-11-14,2025-11-21,168
SHIP08025,ORD08025,2025-07-08,2025-07-19,264
SHIP08026,ORD08026,2025-11-05,2025-11-08,72
SHIP08027,ORD08027,2025-11-02,2025-11-07,120
SHIP08028,ORD08028,2025-04-17,2025-04-23,144
SHIP08029,ORD08029,2025-02-08,2025-02-09,24
SHIP08030,ORD08030,2025-10-09,2025-10-19,240
SHIP08031,ORD08031,2026-02-10,2026-02-15,120
SHIP08032,ORD08032,2026-04-11,2026-04-13,48
SHIP08033,ORD08033,2024-10-03,2024-10-08,120
SHIP08034,ORD08034,2025-04-21,2025-04-29,192
SHIP08035,ORD08035,2024-12-21,2025-01-02,288
SHIP08036,ORD08036,2025-04-07,2025-04-09,48
SHIP08037,ORD08037,2024-11-19,2024-11-28,216
SHIP08038,ORD08038,2024-09-25,2024-10-06,264
SHIP08039,ORD08039,2024-09-18,2024-09-19,24
SHIP08040,ORD08040,2025-09-11,2025-09-13,48
SHIP08041,ORD08041,2025-02-24,2025-03-03,168
SHIP08042,ORD08042,2024-11-04,2024-11-06,48
SHIP08043,ORD08043,2025-06-02,2025-06-06,96
SHIP08044,ORD08044,2025-06-15,2025-06-27,288
SHIP08045,ORD08045,2026-03-08,2026-03-20,288
SHIP08046,ORD08046,2025-10-07,2025-10-17,240
SHIP08047,ORD08047,2024-11-27,2024-11-29,48
SHIP08048,ORD08048,2026-03-02,2026-03-05,72
SHIP08049,ORD08049,2024-07-19,2024-07-25,144
SHIP08050,ORD08050,2025-06-25,2025-07-06,264
SHIP08051,ORD08051,2025-08-17,2025-08-24,168
SHIP08052,ORD08052,2025-01-28,2025-02-09,288
SHIP08053,ORD08053,2026-04-24,2026-04-30,144
SHIP08054,ORD08054,2025-08-30,2025-09-07,192
SHIP08055,ORD08055,2024-11-27,2024-12-05,192
SHIP08056,ORD08056,2026-01-18,2026-01-28,240
SHIP08057,ORD08057,2024-11-17,2024-11-27,240
SHIP08058,ORD08058,2024-12-16,2024-12-27,264
SHIP08059,ORD08059,2025-05-10,2025-05-15,120
SHIP08060,ORD08060,2026-02-08,2026-02-12,96
SHIP08061,ORD08061,2025-05-11,2025-05-19,192
SHIP08062,ORD08062,2025-06-30,2025-07-03,72
SHIP08063,ORD08063,2026-05-18,2026-05-29,264
SHIP08064,ORD08064,2024-09-16,2024-09-23,168
SHIP08065,ORD08065,2025-11-21,2025-11-28,168
SHIP08066,ORD08066,2025-08-20,2025-08-30,240
SHIP08067,ORD08067,2025-11-05,2025-11-17,288
SHIP08068,ORD08068,2024-12-06,2024-12-16,240
SHIP08069,ORD08069,2026-01-20,2026-01-24,96
SHIP08070,ORD08070,2025-02-12,2025-02-23,264
SHIP08071,ORD08071,2025-12-10,2025-12-11,24
SHIP08072,ORD08072,2024-09-20,2024-10-01,264
SHIP08073,ORD08073,2026-05-05,2026-05-16,264
SHIP08074,ORD08074,2026-06-22,2026-07-04,288
SHIP08075,ORD08075,2026-07-12,2026-07-17,120
SHIP08076,ORD08076,2025-12-30,2026-01-03,96
SHIP08077,ORD08077,2025-12-13,2025-12-19,144
SHIP08078,ORD08078,2025-12-17,2025-12-22,120
SHIP08079,ORD08079,2025-07-30,2025-08-02,72
SHIP08080,ORD08080,2026-06-18,2026-06-30,288
SHIP08081,ORD08081,2025-12-13,2025-12-17,96
SHIP08082,ORD08082,2026-01-13,2026-01-17,96
SHIP08083,ORD08083,2026-03-20,2026-03-25,120
SHIP08084,ORD08084,2026-04-21,2026-04-23,48
SHIP08085,ORD08085,2025-06-10,2025-06-21,264
SHIP08086,ORD08086,2025-12-07,2025-12-17,240
SHIP08087,ORD08087,2024-07-24,2024-07-30,144
SHIP08088,ORD08088,2025-06-18,2025-06-28,240
SHIP08089,ORD08089,2024-08-14,2024-08-22,192
SHIP08090,ORD08090,2025-11-25,2025-11-27,48
SHIP08091,ORD08091,2025-11-12,2025-11-20,192
SHIP08092,ORD08092,2024-09-03,2024-09-06,72
SHIP08093,ORD08093,2025-05-08,2025-05-15,168
SHIP08094,ORD08094,2026-05-09,2026-05-16,168
SHIP08095,ORD08095,2025-12-10,2025-12-22,288
SHIP08096,ORD08096,2025-11-19,2025-11-30,264
SHIP08097,ORD08097,2024-07-19,2024-07-30,264
SHIP08098,ORD08098,2024-07-21,2024-07-29,192
SHIP08099,ORD08099,2026-05-04,2026-05-13,216
SHIP08100,ORD08100,2026-07-09,2026-07-16,168
SHIP08101,ORD08101,2026-05-11,2026-05-18,168
SHIP08102,ORD08102,2025-10-02,2025-10-09,168
SHIP08103,ORD08103,2025-04-15,2025-04-23,192
SHIP08104,ORD08104,2024-08-11,2024-08-23,288
SHIP08105,ORD08105,2025-03-06,2025-03-16,240
SHIP08106,ORD08106,2026-04-27,2026-05-08,264
SHIP08107,ORD08107,2026-01-11,2026-01-20,216
SHIP08108,ORD08108,2024-08-19,2024-08-27,192
SHIP08109,ORD08109,2025-03-21,2025-03-30,216
SHIP08110,ORD08110,2026-01-06,2026-01-12,144
SHIP08111,ORD08111,2026-02-04,2026-02-15,264
SHIP08112,ORD08112,2026-06-18,2026-06-24,144
SHIP08113,ORD08113,2026-03-20,2026-03-29,216
SHIP08114,ORD08114,2026-04-28,2026-05-07,216
SHIP08115,ORD08115,2024-08-26,2024-09-03,192
SHIP08116,ORD08116,2026-03-21,2026-03-23,48
SHIP08117,ORD08117,2025-09-30,2025-10-07,168
SHIP08118,ORD08118,2025-04-05,2025-04-09,96
SHIP08119,ORD08119,2026-04-30,2026-05-12,288
SHIP08120,ORD08120,2026-03-23,2026-04-03,264
SHIP08121,ORD08121,2026-02-24,2026-03-03,168
SHIP08122,ORD08122,2026-05-22,2026-05-28,144
SHIP08123,ORD08123,2025-03-19,2025-03-21,48
SHIP08124,ORD08124,2025-05-20,2025-05-22,48
SHIP08125,ORD08125,2024-09-14,2024-09-23,216
SHIP08126,ORD08126,2025-04-03,2025-04-13,240
SHIP08127,ORD08127,2025-02-15,2025-02-27,288
SHIP08128,ORD08128,2025-05-16,2025-05-24,192
SHIP08129,ORD08129,2025-01-13,2025-01-17,96
SHIP08130,ORD08130,2024-12-25,2024-12-30,120
SHIP08131,ORD08131,2025-02-15,2025-02-18,72
SHIP08132,ORD08132,2025-10-21,2025-10-31,240
SHIP08133,ORD08133,2025-12-18,2025-12-30,288
SHIP08134,ORD08134,2025-06-19,2025-06-28,216
SHIP08135,ORD08135,2025-02-16,2025-02-17,24
SHIP08136,ORD08136,2026-04-04,2026-04-06,48
SHIP08137,ORD08137,2024-12-18,2024-12-26,192
SHIP08138,ORD08138,2026-04-11,2026-04-13,48
SHIP08139,ORD08139,2025-03-02,2025-03-14,288
SHIP08140,ORD08140,2026-05-26,2026-05-30,96
SHIP08141,ORD08141,2025-09-06,2025-09-08,48
SHIP08142,ORD08142,2025-03-04,2025-03-09,120
SHIP08143,ORD08143,2025-06-18,2025-06-20,48
SHIP08144,ORD08144,2024-11-03,2024-11-14,264
SHIP08145,ORD08145,2026-03-23,2026-04-03,264
SHIP08146,ORD08146,2025-03-09,2025-03-14,120
SHIP08147,ORD08147,2025-07-11,2025-07-21,240
SHIP08148,ORD08148,2026-07-02,2026-07-10,192
SHIP08149,ORD08149,2025-04-04,2025-04-16,288
SHIP08150,ORD08150,2025-11-28,2025-12-08,240
SHIP08151,ORD08151,2025-03-10,2025-03-22,288
SHIP08152,ORD08152,2025-05-03,2025-05-15,288
SHIP08153,ORD08153,2025-05-23,2025-05-30,168
SHIP08154,ORD08154,2025-12-12,2025-12-19,168
SHIP08155,ORD08155,2025-08-28,2025-09-01,96
SHIP08156,ORD08156,2025-12-26,2026-01-04,216
SHIP08157,ORD08157,2026-04-02,2026-04-12,240
SHIP08158,ORD08158,2025-08-14,2025-08-16,48
SHIP08159,ORD08159,2026-06-05,2026-06-14,216
SHIP08160,ORD08160,2024-08-24,2024-08-29,120
SHIP08161,ORD08161,2026-05-17,2026-05-26,216
SHIP08162,ORD08162,2025-06-11,2025-06-14,72
SHIP08163,ORD08163,2025-07-08,2025-07-10,48
SHIP08164,ORD08164,2025-12-09,2025-12-16,168
SHIP08165,ORD08165,2026-03-19,2026-03-23,96
SHIP08166,ORD08166,2024-12-05,2024-12-07,48
SHIP08167,ORD08167,2025-12-27,2026-01-01,120
SHIP08168,ORD08168,2025-02-07,2025-02-16,216
SHIP08169,ORD08169,2024-10-25,2024-11-01,168
SHIP08170,ORD08170,2024-10-02,2024-10-04,48
SHIP08171,ORD08171,2024-09-12,2024-09-23,264
SHIP08172,ORD08172,2024-08-06,2024-08-11,120
SHIP08173,ORD08173,2026-05-27,2026-05-30,72
SHIP08174,ORD08174,2026-03-04,2026-03-09,120
SHIP08175,ORD08175,2024-11-18,2024-11-26,192
SHIP08176,ORD08176,2025-09-17,2025-09-18,24
SHIP08177,ORD08177,2024-08-15,2024-08-27,288
SHIP08178,ORD08178,2025-03-25,2025-04-04,240
SHIP08179,ORD08179,2025-08-06,2025-08-14,192
SHIP08180,ORD08180,2025-09-16,2025-09-20,96
SHIP08181,ORD08181,2025-04-26,2025-05-02,144
SHIP08182,ORD08182,2026-01-11,2026-01-12,24
SHIP08183,ORD08183,2026-02-19,2026-02-24,120
SHIP08184,ORD08184,2024-11-21,2024-11-22,24
SHIP08185,ORD08185,2025-07-24,2025-07-31,168
SHIP08186,ORD08186,2024-09-22,2024-10-01,216
SHIP08187,ORD08187,2025-11-25,2025-11-30,120
SHIP08188,ORD08188,2025-04-04,2025-04-09,120
SHIP08189,ORD08189,2024-12-19,2024-12-26,168
SHIP08190,ORD08190,2025-01-14,2025-01-26,288
SHIP08191,ORD08191,2026-02-12,2026-02-24,288
SHIP08192,ORD08192,2026-05-15,2026-05-27,288
SHIP08193,ORD08193,2026-04-15,2026-04-26,264
SHIP08194,ORD08194,2025-03-18,2025-03-27,216
SHIP08195,ORD08195,2025-10-23,2025-11-04,288
SHIP08196,ORD08196,2025-05-15,2025-05-27,288
SHIP08197,ORD08197,2025-12-13,2025-12-15,48
SHIP08198,ORD08198,2026-01-01,2026-01-11,240
SHIP08199,ORD08199,2025-07-01,2025-07-13,288
SHIP08200,ORD08200,2024-07-27,2024-07-29,48
SHIP08201,ORD08201,2024-10-18,2024-10-28,240
SHIP08202,ORD08202,2025-10-07,2025-10-13,144
SHIP08203,ORD08203,2024-07-30,2024-08-11,288
SHIP08204,ORD08204,2025-06-22,2025-07-04,288
SHIP08205,ORD08205,2025-11-01,2025-11-08,168
SHIP08206,ORD08206,2025-03-23,2025-03-31,192
SHIP08207,ORD08207,2025-03-30,2025-04-01,48
SHIP08208,ORD08208,2024-09-28,2024-10-05,168
SHIP08209,ORD08209,2025-06-10,2025-06-22,288
SHIP08210,ORD08210,2025-12-12,2025-12-20,192
SHIP08211,ORD08211,2024-08-08,2024-08-18,240
SHIP08212,ORD08212,2024-08-23,2024-08-31,192
SHIP08213,ORD08213,2025-04-29,2025-05-04,120
SHIP08214,ORD08214,2025-05-07,2025-05-12,120
SHIP08215,ORD08215,2025-07-11,2025-07-17,144
SHIP08216,ORD08216,2025-12-05,2025-12-13,192
SHIP08217,ORD08217,2024-09-22,2024-10-02,240
SHIP08218,ORD08218,2025-09-03,2025-09-06,72
SHIP08219,ORD08219,2026-02-01,2026-02-09,192
SHIP08220,ORD08220,2024-08-05,2024-08-10,120
SHIP08221,ORD08221,2024-09-07,2024-09-13,144
SHIP08222,ORD08222,2025-09-05,2025-09-06,24
SHIP08223,ORD08223,2025-06-01,2025-06-10,216
