Metric_ID,Shipment_ID,Delivery_Cost,Delay_Hours,Customer_Priority
MET05042,SHIP05042,20591.76,12,High
MET05043,SHIP05043,3438.41,3,High
MET05044,SHIP05044,13983.19,16,High
MET05045,SHIP05045,35830.41,14,High
MET05046,SHIP05046,315341.49,26,High
MET05047,SHIP05047,12524.76,5,High
MET05048,SHIP05048,18265.36,4,Medium
MET05049,SHIP05049,22182.86,40,Low
MET05050,SHIP05050,22745.46,16,Low
MET05051,SHIP05051,23172.16,16,High
MET05052,SHIP05052,120812.08,7,Medium
MET05053,SHIP05053,27953.12,24,High
MET05054,SHIP05054,24795.97,28,Medium
MET05055,SHIP05055,23045.41,62,Low
MET05056,SHIP05056,12126.01,7,Low
MET05057,SHIP05057,31311.06,16,Medium
MET05058,SHIP05058,22278.56,14,Medium
MET05059,SHIP05059,28083.92,40,Low
MET05060,SHIP05060,14162.5,9,High
MET05061,SHIP05061,20816.14,22,High
MET05062,SHIP05062,18127.94,40,Medium
MET05063,SHIP05063,316369.42,13,High
MET05064,SHIP05064,31451.47,17,High
MET05065,SHIP05065,69138.79,37,High
MET05066,SHIP05066,7052.21,5,Low
MET05067,SHIP05067,29071.0,17,Low
MET05068,SHIP05068,138422.99,17,Low
MET05069,SHIP05069,12647.38,8,Low
MET05070,SHIP05070,29304.99,0,High
MET05071,SHIP05071,10963.76,1,Low
MET05072,SHIP05072,14564.64,11,Medium
MET05073,SHIP05073,69363.89,35,Medium
MET05074,SHIP05074,26103.25,7,High
MET05075,SHIP05075,28605.19,15,High
MET05076,SHIP05076,26980.36,6,Low
MET05077,SHIP05077,18011.95,15,Medium
MET05078,SHIP05078,25574.48,25,Medium
MET05079,SHIP05079,9584.44,18,Medium
MET05080,SHIP05080,65824.04,20,Medium
MET05081,SHIP05081,23327.89,5,Low
MET05082,SHIP05082,25219.57,8,Low
MET05083,SHIP05083,11298.39,10,Low
MET05084,SHIP05084,6412.34,1,Medium
MET05085,SHIP05085,28738.54,37,Medium
MET05086,SHIP05086,96153.82,2,High
MET05087,SHIP05087,13453.93,6,Low
MET05088,SHIP05088,24859.48,6,Medium
MET05089,SHIP05089,27086.26,10,High
MET05090,SHIP05090,13827.69,12,High
MET05091,SHIP05091,8089.73,13,Low
MET05092,SHIP05092,32613.77,48,Low
MET05093,SHIP05093,292323.89,36,High
MET05094,SHIP05094,11573.94,3,High
MET05095,SHIP05095,15614.4,8,Medium
MET05096,SHIP05096,11901.06,24,High
MET05097,SHIP05097,170933.01,15,Low
MET05098,SHIP05098,23734.27,25,High
MET05099,SHIP05099,31062.71,6,High
MET05100,SHIP05100,25681.77,7,High
MET05101,SHIP05101,26626.25,4,High
MET05102,SHIP05102,11268.54,4,Medium
MET05103,SHIP05103,4235.67,13,Medium
MET05104,SHIP05104,25658.96,11,High
MET05105,SHIP05105,20888.69,21,Medium
MET05106,SHIP05106,29788.54,22,High
MET05107,SHIP05107,13890.97,16,Medium
MET05108,SHIP05108,24818.81,6,Low
MET05109,SHIP05109,260296.04,13,Medium
MET05110,SHIP05110,12921.22,16,Low
MET05111,SHIP05111,25017.82,9,Medium
MET05112,SHIP05112,8413.28,8,Medium
MET05113,SHIP05113,23534.27,32,Medium
MET05114,SHIP05114,22552.97,17,High
MET05115,SHIP05115,24840.76,6,Low
MET05116,SHIP05116,9504.86,6,Medium
MET05117,SHIP05117,2953.88,33,Low
MET05118,SHIP05118,16576.59,16,Low
MET05119,SHIP05119,13896.35,15,Low
MET05120,SHIP05120,10293.67,5,Medium
MET05121,SHIP05121,61336.19,26,Medium
MET05122,SHIP05122,13601.54,2,High
MET05123,SHIP05123,11339.94,15,High
MET05124,SHIP05124,20866.6,19,Low
MET05125,SHIP05125,68169.5,7,Low
MET05126,SHIP05126,24052.22,23,Low
MET05127,SHIP05127,7869.31,9,Low
MET05128,SHIP05128,20716.56,10,Medium
MET05129,SHIP05129,29491.84,31,Medium
MET05130,SHIP05130,26474.84,32,Low
MET05131,SHIP05131,15017.55,11,Low
MET05132,SHIP05132,34392.09,11,Medium
MET05133,SHIP05133,5254.47,6,Medium
MET05134,SHIP05134,58035.39,30,Medium
MET05135,SHIP05135,33731.22,29,Medium
MET05136,SHIP05136,21601.18,5,Medium
MET05137,SHIP05137,6052.11,40,Low
MET05138,SHIP05138,28021.18,9,Medium
MET05139,SHIP05139,8207.43,1,High
MET05140,SHIP05140,21910.38,23,Medium
MET05141,SHIP05141,20138.39,29,Low
MET05142,SHIP05142,11577.76,7,Medium
MET05143,SHIP05143,32561.78,10,High
MET05144,SHIP05144,27956.01,25,Low
MET05145,SHIP05145,26821.24,15,Medium
MET05146,SHIP05146,13371.76,16,Low
MET05147,SHIP05147,57495.21,29,Low
MET05148,SHIP05148,4943.21,7,Low
MET05149,SHIP05149,88673.53,2,Medium
MET05150,SHIP05150,7212.03,5,Low
MET05151,SHIP05151,75803.51,16,High
MET05152,SHIP05152,22993.96,1,Medium
MET05153,SHIP05153,13685.86,4,High
MET05154,SHIP05154,319505.94,2,Medium
MET05155,SHIP05155,6450.13,19,Medium
MET05156,SHIP05156,23571.26,25,Medium
MET05157,SHIP05157,105598.7,16,Low
MET05158,SHIP05158,220879.31,0,Medium
MET05159,SHIP05159,11818.59,1,Low
MET05160,SHIP05160,44499.5,48,High
MET05161,SHIP05161,167259.53,9,High
MET05162,SHIP05162,26031.66,35,Low
MET05163,SHIP05163,8596.53,16,High
MET05164,SHIP05164,12841.77,9,Low
MET05165,SHIP05165,279141.83,25,Low
MET05166,SHIP05166,254154.29,13,High
MET05167,SHIP05167,20910.37,29,High
MET05168,SHIP05168,39577.64,59,Low
MET05169,SHIP05169,57876.07,7,Low
MET05170,SHIP05170,26729.69,6,Low
MET05171,SHIP05171,7652.81,9,Medium
MET05172,SHIP05172,10197.94,6,High
MET05173,SHIP05173,7538.53,5,Medium
MET05174,SHIP05174,35818.23,20,Low
MET05175,SHIP05175,15930.22,15,High
MET05176,SHIP05176,10820.87,37,High
MET05177,SHIP05177,12755.93,8,High
MET05178,SHIP05178,13451.79,2,Medium
MET05179,SHIP05179,6935.6,16,Low
MET05180,SHIP05180,17833.87,13,Low
MET05181,SHIP05181,21119.54,6,Medium
MET05182,SHIP05182,67164.93,7,High
MET05183,SHIP05183,13212.71,6,Medium
MET05184,SHIP05184,12080.41,27,Low
MET05185,SHIP05185,21328.85,0,High
MET05186,SHIP05186,13083.02,18,Medium
MET05187,SHIP05187,16766.33,9,High
MET05188,SHIP05188,18928.18,14,Low
MET05189,SHIP05189,16551.12,5,Medium
MET05190,SHIP05190,23561.93,18,High
MET05191,SHIP05191,26457.8,4,Low
MET05192,SHIP05192,3827.56,15,Low
MET05193,SHIP05193,16032.74,32,High
MET05194,SHIP05194,15255.07,22,Medium
MET05195,SHIP05195,9638.0,3,Medium
MET05196,SHIP05196,174676.1,9,Low
MET05197,SHIP05197,62371.13,12,Medium
MET05198,SHIP05198,6005.39,8,Low
MET05199,SHIP05199,30974.9,24,Low
MET05200,SHIP05200,28064.89,0,Low
MET05201,SHIP05201,11500.24,16,Low
MET05202,SHIP05202,24796.82,15,Low
MET05203,SHIP05203,19806.92,13,Low
MET05204,SHIP05204,8855.14,2,Low
MET05205,SHIP05205,29837.66,7,High
MET05206,SHIP05206,19427.34,39,Medium
MET05207,SHIP05207,34631.96,13,Medium
MET05208,SHIP05208,180199.65,24,High
MET05209,SHIP05209,15589.91,6,Medium
MET05210,SHIP05210,26627.16,31,Medium
MET05211,SHIP05211,23272.5,28,High
MET05212,SHIP05212,27972.4,21,High
MET05213,SHIP05213,3652.6,4,High
MET05214,SHIP05214,26116.69,16,Low
MET05215,SHIP05215,70894.71,36,Low
MET05216,SHIP05216,3987.49,4,Medium
MET05217,SHIP05217,2593.52,2,Low
MET05218,SHIP05218,36644.18,0,High
MET05219,SHIP05219,12056.21,15,Medium
MET05220,SHIP05220,7268.45,19,Low
MET05221,SHIP05221,50894.48,12,Low
MET05222,SHIP05222,322834.27,16,Low
MET05223,SHIP05223,21789.01,18,Medium
MET05224,SHIP05224,4677.66,32,Low
MET05225,SHIP05225,6250.04,15,Medium
MET05226,SHIP05226,203440.54,25,Low
MET05227,SHIP05227,28032.74,14,High
MET05228,SHIP05228,25941.56,16,Medium
MET05229,SHIP05229,21502.58,12,Medium
MET05230,SHIP05230,19442.55,35,Medium
MET05231,SHIP05231,281809.0,12,Medium
MET05232,SHIP05232,6718.85,0,High
MET05233,SHIP05233,4500.16,8,Medium
MET05234,SHIP05234,6821.97,7,High
MET05235,SHIP05235,25012.09,0,Medium
MET05236,SHIP05236,58157.08,12,High
MET05237,SHIP05237,7629.86,16,High
MET05238,SHIP05238,317479.78,5,Medium
MET05239,SHIP05239,20799.93,12,Low
MET05240,SHIP05240,253242.95,14,Low
MET05241,SHIP05241,24885.48,36,Medium
MET05242,SHIP05242,229390.24,13,High
MET05243,SHIP05243,20987.96,9,Medium
MET05244,SHIP05244,28261.53,5,Medium
MET05245,SHIP05245,24839.74,9,High
MET05246,SHIP05246,22990.54,15,Low
MET05247,SHIP05247,26212.51,6,Low
MET05248,SHIP05248,73442.28,0,Medium
MET05249,SHIP05249,36051.86,13,Low
MET05250,SHIP05250,23632.16,34,High
MET05251,SHIP05251,16569.29,23,High
MET05252,SHIP05252,17072.18,5,Medium
MET05253,SHIP05253,18353.09,12,High
MET05254,SHIP05254,28268.88,3,Low
MET05255,SHIP05255,8224.73,24,High
MET05256,SHIP05256,106248.97,21,Medium
MET05257,SHIP05257,4384.98,14,High
MET05258,SHIP05258,26163.42,8,Low
MET05259,SHIP05259,11108.38,13,Low
MET05260,SHIP05260,28953.53,10,Medium
MET05261,SHIP05261,27626.74,22,Medium
MET05262,SHIP05262,10249.3,4,Low
MET05263,SHIP05263,20331.96,3,Low
MET05264,SHIP05264,290845.24,2,Low
MET05265,SHIP05265,21118.66,26,Low
MET05266,SHIP05266,15483.13,11,Low
MET05267,SHIP05267,24593.87,9,Low
MET05268,SHIP05268,214253.54,23,Low
MET05269,SHIP05269,9959.89,16,Low
MET05270,SHIP05270,12088.31,0,Medium
MET05271,SHIP05271,9276.1,6,Medium
MET05272,SHIP05272,59340.91,27,Low
MET05273,SHIP05273,21098.7,0,Medium
MET05274,SHIP05274,9194.77,20,Low
MET05275,SHIP05275,30757.52,5,Medium
MET05276,SHIP05276,11008.36,6,Low
MET05277,SHIP05277,27232.26,6,High
MET05278,SHIP05278,12634.95,7,Low
MET05279,SHIP05279,27721.01,16,High
MET05280,SHIP05280,119571.06,0,High
MET05281,SHIP05281,84908.5,0,High
MET05282,SHIP05282,8091.64,28,Low
MET05283,SHIP05283,10857.59,6,Medium
MET05284,SHIP05284,22716.97,15,Medium
MET05285,SHIP05285,12336.04,6,High
MET05286,SHIP05286,50387.15,33,Medium
MET05287,SHIP05287,18462.37,26,Medium
MET05288,SHIP05288,16364.25,3,Medium
MET05289,SHIP05289,12181.13,35,Medium
MET05290,SHIP05290,25217.24,3,Low
MET05291,SHIP05291,17853.11,18,Low
MET05292,SHIP05292,5917.88,18,Medium
MET05293,SHIP05293,17279.18,15,High
MET05294,SHIP05294,3648.57,4,Medium
MET05295,SHIP05295,17874.54,15,Medium
MET05296,SHIP05296,11153.37,9,High
MET05297,SHIP05297,11198.64,8,Low
MET05298,SHIP05298,7519.68,0,Medium
MET05299,SHIP05299,25467.07,7,High
MET05300,SHIP05300,111268.99,14,High
MET05301,SHIP05301,26007.02,8,Medium
MET05302,SHIP05302,41285.37,34,High
MET05303,SHIP05303,11328.25,0,High
MET05304,SHIP05304,9520.95,1,Low
MET05305,SHIP05305,106643.47,25,Medium
MET05306,SHIP05306,50609.64,29,Medium
MET05307,SHIP05307,6887.78,18,Medium
MET05308,SHIP05308,135782.03,13,Medium
MET05309,SHIP05309,35311.35,8,Medium
MET05310,SHIP05310,44444.06,42,Medium
MET05311,SHIP05311,19986.35,0,High
MET05312,SHIP05312,28689.98,17,Medium
MET05313,SHIP05313,64628.8,27,Low
MET05314,SHIP05314,12183.89,31,High
MET05315,SHIP05315,63523.48,33,High
MET05316,SHIP05316,44807.92,16,High
MET05317,SHIP05317,14261.97,7,Medium
MET05318,SHIP05318,22218.05,16,Low
MET05319,SHIP05319,6652.62,6,Medium
MET05320,SHIP05320,15226.56,26,High
MET05321,SHIP05321,17703.96,5,Medium
MET05322,SHIP05322,16207.39,9,Medium
MET05323,SHIP05323,21194.78,9,Medium
MET05324,SHIP05324,16502.01,2,High
MET05325,SHIP05325,27457.14,37,Low
MET05326,SHIP05326,5523.24,22,Medium
MET05327,SHIP05327,161570.79,22,Low
MET05328,SHIP05328,20497.67,16,High
MET05329,SHIP05329,25959.17,16,Low
MET05330,SHIP05330,15603.88,0,Medium
MET05331,SHIP05331,22714.22,16,Medium
MET05332,SHIP05332,22905.14,17,Low
MET05333,SHIP05333,5693.24,45,Low
MET05334,SHIP05334,6032.83,14,Medium
MET05335,SHIP05335,264624.13,15,Low
MET05336,SHIP05336,296161.71,14,High
MET05337,SHIP05337,11266.27,16,Low
MET05338,SHIP05338,270231.11,22,Medium
MET05339,SHIP05339,26431.98,31,Low
MET05340,SHIP05340,25371.56,9,Low
MET05341,SHIP05341,149137.58,5,Medium
MET05342,SHIP05342,46243.71,12,High
MET05343,SHIP05343,28786.45,4,Low
MET05344,SHIP05344,24218.1,22,Low
MET05345,SHIP05345,4327.97,2,Medium
MET05346,SHIP05346,22714.64,24,Low
MET05347,SHIP05347,16587.77,7,Medium
MET05348,SHIP05348,29554.0,17,High
MET05349,SHIP05349,21254.37,29,Medium
MET05350,SHIP05350,21228.32,6,High
MET05351,SHIP05351,9194.54,14,Low
MET05352,SHIP05352,9262.87,6,Low
MET05353,SHIP05353,10002.04,7,Medium
MET05354,SHIP05354,20665.56,15,High
MET05355,SHIP05355,14986.25,13,Medium
MET05356,SHIP05356,7716.93,5,Medium
MET05357,SHIP05357,26513.38,5,Medium
MET05358,SHIP05358,4210.03,16,Medium
MET05359,SHIP05359,20748.14,40,Medium
MET05360,SHIP05360,7773.94,14,High
MET05361,SHIP05361,39896.71,12,Low
MET05362,SHIP05362,163916.38,25,Medium
MET05363,SHIP05363,300711.45,0,Low
MET05364,SHIP05364,25996.61,12,Medium
MET05365,SHIP05365,28738.63,14,Medium
MET05366,SHIP05366,31501.19,10,High
MET05367,SHIP05367,6829.79,43,Medium
MET05368,SHIP05368,30312.33,14,High
MET05369,SHIP05369,22347.45,26,High
MET05370,SHIP05370,22254.87,36,High
MET05371,SHIP05371,287519.4,6,Medium
MET05372,SHIP05372,6996.1,16,Low
MET05373,SHIP05373,10349.13,30,High
MET05374,SHIP05374,23241.41,8,Low
MET05375,SHIP05375,6723.89,1,Low
MET05376,SHIP05376,6346.91,10,High
MET05377,SHIP05377,26856.0,36,Medium
MET05378,SHIP05378,29135.93,7,Medium
MET05379,SHIP05379,32499.83,5,Medium
MET05380,SHIP05380,70480.92,5,Low
MET05381,SHIP05381,76370.75,14,Medium
MET05382,SHIP05382,7670.77,10,Medium
MET05383,SHIP05383,28061.09,33,Medium
MET05384,SHIP05384,5293.16,15,High
MET05385,SHIP05385,26049.37,12,Medium
MET05386,SHIP05386,15652.26,5,Medium
MET05387,SHIP05387,74276.67,7,Low
MET05388,SHIP05388,10419.71,18,Low
MET05389,SHIP05389,8155.5,15,Medium
MET05390,SHIP05390,51713.88,26,High
MET05391,SHIP05391,45046.91,29,Low
MET05392,SHIP05392,23082.16,49,Medium
MET05393,SHIP05393,134784.22,16,High
MET05394,SHIP05394,25773.09,7,High
MET05395,SHIP05395,18595.97,37,High
MET05396,SHIP05396,22980.18,15,Medium
MET05397,SHIP05397,5732.85,10,Low
MET05398,SHIP05398,9150.37,28,Low
MET05399,SHIP05399,19346.45,10,Medium
MET05400,SHIP05400,9048.62,28,Medium
MET05401,SHIP05401,28786.0,21,High
MET05402,SHIP05402,160377.53,13,Low
MET05403,SHIP05403,12618.8,2,Low
MET05404,SHIP05404,28206.23,9,High
MET05405,SHIP05405,28852.02,41,Medium
MET05406,SHIP05406,25717.36,15,High
MET05407,SHIP05407,6556.44,8,Medium
MET05408,SHIP05408,6953.33,14,High
MET05409,SHIP05409,54114.39,7,Low
MET05410,SHIP05410,12747.29,5,Medium
MET05411,SHIP05411,26896.4,13,Medium
MET05412,SHIP05412,65736.68,12,High
MET05413,SHIP05413,25283.51,37,Medium
MET05414,SHIP05414,13012.24,14,Medium
MET05415,SHIP05415,10395.99,9,Medium
MET05416,SHIP05416,20260.78,21,High
MET05417,SHIP05417,21551.71,29,Medium
MET05418,SHIP05418,191938.38,7,High
MET05419,SHIP05419,102350.83,6,Low
MET05420,SHIP05420,24746.6,11,Low
MET05421,SHIP05421,6554.97,19,Low
MET05422,SHIP05422,328869.13,0,High
MET05423,SHIP05423,13945.02,1,Low
MET05424,SHIP05424,30332.79,18,Medium
MET05425,SHIP05425,214280.23,14,High
MET05426,SHIP05426,29625.46,5,High
MET05427,SHIP05427,11818.14,7,Medium
MET05428,SHIP05428,28596.71,35,High
MET05429,SHIP05429,117216.82,24,Low
MET05430,SHIP05430,18855.42,41,Low
MET05431,SHIP05431,28868.94,6,Low
MET05432,SHIP05432,51999.38,27,High
MET05433,SHIP05433,115524.88,13,Medium
MET05434,SHIP05434,84107.11,1,High
MET05435,SHIP05435,185430.2,14,High
MET05436,SHIP05436,28593.83,9,Low
MET05437,SHIP05437,141258.34,0,Medium
MET05438,SHIP05438,9664.64,10,Low
MET05439,SHIP05439,7562.43,33,Low
MET05440,SHIP05440,23373.07,22,High
MET05441,SHIP05441,19186.86,4,Low
MET05442,SHIP05442,28697.82,14,Medium
MET05443,SHIP05443,58517.18,10,Medium
MET05444,SHIP05444,10782.87,11,Medium
MET05445,SHIP05445,32412.94,15,Medium
MET05446,SHIP05446,31348.43,11,High
MET05447,SHIP05447,20354.54,18,Low
MET05448,SHIP05448,14164.15,2,High
MET05449,SHIP05449,11915.39,13,High
MET05450,SHIP05450,8462.66,13,High
MET05451,SHIP05451,30284.68,0,Low
MET05452,SHIP05452,9254.17,15,High
MET05453,SHIP05453,9338.38,13,Medium
MET05454,SHIP05454,16946.48,2,Medium
MET05455,SHIP05455,24075.89,6,Low
MET05456,SHIP05456,16761.29,31,High
MET05457,SHIP05457,23322.03,29,High
MET05458,SHIP05458,5732.41,16,Medium
MET05459,SHIP05459,11028.16,18,Medium
MET05460,SHIP05460,237049.31,7,Medium
MET05461,SHIP05461,256229.07,14,Medium
MET05462,SHIP05462,307035.62,7,Medium
MET05463,SHIP05463,17086.19,6,High
MET05464,SHIP05464,22015.4,21,Low
MET05465,SHIP05465,11807.01,9,High
MET05466,SHIP05466,9455.01,11,High
MET05467,SHIP05467,160788.63,7,High
MET05468,SHIP05468,249961.04,5,High
MET05469,SHIP05469,17520.17,28,High
MET05470,SHIP05470,101882.27,6,Low
MET05471,SHIP05471,13578.12,29,Medium
MET05472,SHIP05472,326580.98,25,Low
MET05473,SHIP05473,13903.44,14,High
MET05474,SHIP05474,25796.08,0,High
MET05475,SHIP05475,29259.01,17,Low
MET05476,SHIP05476,23961.3,16,Medium
MET05477,SHIP05477,9986.89,23,Medium
MET05478,SHIP05478,12198.25,12,High
MET05479,SHIP05479,260823.5,30,High
MET05480,SHIP05480,14883.4,8,Medium
MET05481,SHIP05481,11455.34,25,Medium
MET05482,SHIP05482,5998.93,33,Medium
MET05483,SHIP05483,19430.07,27,High
MET05484,SHIP05484,18434.49,15,Low
MET05485,SHIP05485,25696.27,22,Low
MET05486,SHIP05486,30718.07,28,High
MET05487,SHIP05487,4843.28,17,Medium
MET05488,SHIP05488,27239.08,6,High
MET05489,SHIP05489,17402.09,17,Medium
MET05490,SHIP05490,274704.81,18,High
MET05491,SHIP05491,28625.92,8,High
MET05492,SHIP05492,262159.95,1,Medium
MET05493,SHIP05493,23414.76,10,Medium
MET05494,SHIP05494,18288.76,4,Low
MET05495,SHIP05495,30327.68,28,High
MET05496,SHIP05496,173643.56,6,High
MET05497,SHIP05497,17641.5,6,High
MET05498,SHIP05498,9281.66,10,Low
MET05499,SHIP05499,117850.42,6,Medium
MET05500,SHIP05500,10450.66,6,High
MET05501,SHIP05501,23027.01,12,Medium
MET05502,SHIP05502,8131.4,9,Low
MET05503,SHIP05503,28076.97,13,Medium
MET05504,SHIP05504,18949.72,6,Low
MET05505,SHIP05505,41217.65,8,High
MET05506,SHIP05506,25655.72,2,Medium
MET05507,SHIP05507,26433.77,9,Low
MET05508,SHIP05508,18418.99,8,Medium
MET05509,SHIP05509,5593.13,1,High
MET05510,SHIP05510,15132.53,27,High
MET05511,SHIP05511,22155.24,5,Medium
MET05512,SHIP05512,9481.89,24,Low
MET05513,SHIP05513,15412.07,9,Low
MET05514,SHIP05514,10400.41,6,High
MET05515,SHIP05515,45453.51,16,Medium
MET05516,SHIP05516,6707.19,32,Medium
MET05517,SHIP05517,8030.65,3,High
MET05518,SHIP05518,25363.29,4,Medium
MET05519,SHIP05519,27021.71,7,High
MET05520,SHIP05520,58507.59,33,Low
MET05521,SHIP05521,7568.54,12,Medium
MET05522,SHIP05522,9787.91,13,Medium
MET05523,SHIP05523,21008.09,9,Medium
MET05524,SHIP05524,13726.27,9,Medium
MET05525,SHIP05525,11027.28,10,High
MET05526,SHIP05526,82062.93,14,Low
MET05527,SHIP05527,9266.49,15,Low
MET05528,SHIP05528,310894.69,5,High
MET05529,SHIP05529,20837.1,6,High
MET05530,SHIP05530,3447.57,8,Low
MET05531,SHIP05531,17160.28,8,High
MET05532,SHIP05532,26588.98,14,Medium
MET05533,SHIP05533,13455.64,18,Low
MET05534,SHIP05534,16560.78,19,Medium
MET05535,SHIP05535,56738.38,30,High
MET05536,SHIP05536,25308.16,12,High
MET05537,SHIP05537,33020.49,11,Low
MET05538,SHIP05538,26412.3,8,Medium
MET05539,SHIP05539,29401.13,17,Low
MET05540,SHIP05540,4328.36,15,Medium
MET05541,SHIP05541,38938.86,18,Low
MET05542,SHIP05542,32373.48,15,Low
MET05543,SHIP05543,31536.18,24,Low
MET05544,SHIP05544,13157.27,4,Medium
MET05545,SHIP05545,13673.1,3,Low
MET05546,SHIP05546,23298.37,14,Medium
MET05547,SHIP05547,33975.35,27,High
MET05548,SHIP05548,18922.7,2,Medium
MET05549,SHIP05549,10179.84,40,High
MET05550,SHIP05550,15603.8,0,Low
MET05551,SHIP05551,7245.67,24,Medium
MET05552,SHIP05552,29855.17,9,Low
MET05553,SHIP05553,232150.95,1,High
MET05554,SHIP05554,65402.26,22,Medium
MET05555,SHIP05555,26871.28,10,High
MET05556,SHIP05556,142752.3,30,Medium
MET05557,SHIP05557,218567.29,24,Medium
MET05558,SHIP05558,40002.24,27,Medium
MET05559,SHIP05559,25379.03,22,High
MET05560,SHIP05560,31061.06,16,Medium
MET05561,SHIP05561,18307.37,11,Low
MET05562,SHIP05562,18513.83,0,Low
MET05563,SHIP05563,14993.62,4,Low
MET05564,SHIP05564,14669.68,16,Low
MET05565,SHIP05565,2323.24,22,Low
MET05566,SHIP05566,25419.36,28,Low
MET05567,SHIP05567,126771.31,21,Low
MET05568,SHIP05568,31644.44,17,Low
MET05569,SHIP05569,13295.59,1,Low
MET05570,SHIP05570,286445.67,13,High
MET05571,SHIP05571,15273.25,16,Low
MET05572,SHIP05572,6057.07,16,Low
MET05573,SHIP05573,179502.93,6,High
MET05574,SHIP05574,97830.09,38,Medium
MET05575,SHIP05575,7203.1,4,Low
MET05576,SHIP05576,227479.77,10,Medium
MET05577,SHIP05577,51233.61,14,Low
MET05578,SHIP05578,7708.02,14,Medium
MET05579,SHIP05579,11524.9,1,Low
MET05580,SHIP05580,165133.28,6,Medium
MET05581,SHIP05581,13446.95,22,High
MET05582,SHIP05582,21170.04,23,High
MET05583,SHIP05583,15170.02,21,Low
MET05584,SHIP05584,11589.81,12,High
MET05585,SHIP05585,76817.42,0,Medium
MET05586,SHIP05586,15823.77,7,Medium
MET05587,SHIP05587,265479.5,7,Low
MET05588,SHIP05588,28610.06,14,High
MET05589,SHIP05589,12172.46,16,Low
MET05590,SHIP05590,11180.8,8,Low
MET05591,SHIP05591,13094.13,6,Low
MET05592,SHIP05592,34668.43,5,Medium
MET05593,SHIP05593,202253.99,34,Medium
MET05594,SHIP05594,31180.55,14,Low
MET05595,SHIP05595,12157.49,5,Low
MET05596,SHIP05596,29613.11,15,Low
MET05597,SHIP05597,21759.97,0,Medium
MET05598,SHIP05598,233658.8,10,Low
MET05599,SHIP05599,4879.44,22,High
MET05600,SHIP05600,19244.47,8,Low
MET05601,SHIP05601,10020.48,12,Medium
MET05602,SHIP05602,207206.53,25,Low
MET05603,SHIP05603,9737.27,3,High
MET05604,SHIP05604,21836.43,10,Low
MET05605,SHIP05605,18714.45,6,Medium
MET05606,SHIP05606,15250.25,9,High
MET05607,SHIP05607,13191.72,14,Low
MET05608,SHIP05608,18296.35,10,Low
MET05609,SHIP05609,25951.25,25,High
MET05610,SHIP05610,43605.59,8,High
MET05611,SHIP05611,16235.14,11,High
MET05612,SHIP05612,12622.3,16,Low
MET05613,SHIP05613,8252.35,43,High
MET05614,SHIP05614,4692.52,9,High
MET05615,SHIP05615,34120.29,5,High
MET05616,SHIP05616,5375.66,0,High
MET05617,SHIP05617,99511.68,15,Low
MET05618,SHIP05618,9707.49,13,High
MET05619,SHIP05619,5911.01,17,Low
MET05620,SHIP05620,7555.3,8,Low
MET05621,SHIP05621,27944.9,16,Low
MET05622,SHIP05622,18506.08,15,Medium
MET05623,SHIP05623,15018.55,22,Low
MET05624,SHIP05624,27254.64,20,High
MET05625,SHIP05625,30641.55,24,Medium
MET05626,SHIP05626,22282.17,16,High
MET05627,SHIP05627,11143.29,27,Medium
MET05628,SHIP05628,20536.06,8,Low
MET05629,SHIP05629,16698.39,8,Low
MET05630,SHIP05630,220808.54,22,Medium
MET05631,SHIP05631,196861.77,6,High
MET05632,SHIP05632,6969.39,18,High
MET05633,SHIP05633,34205.83,9,High
MET05634,SHIP05634,17115.14,31,Medium
MET05635,SHIP05635,11999.3,15,Medium
MET05636,SHIP05636,17632.17,29,High
MET05637,SHIP05637,8294.45,27,Low
MET05638,SHIP05638,7808.44,26,Low
MET05639,SHIP05639,20367.95,6,Low
MET05640,SHIP05640,5442.61,29,Low
MET05641,SHIP05641,184067.08,26,Medium
MET05642,SHIP05642,7027.4,14,Medium
MET05643,SHIP05643,14372.76,5,Medium
MET05644,SHIP05644,9724.79,7,Low
MET05645,SHIP05645,25351.03,5,Low
MET05646,SHIP05646,24523.37,13,Low
MET05647,SHIP05647,249712.92,7,Low
MET05648,SHIP05648,3137.93,19,Low
MET05649,SHIP05649,18217.0,15,Medium
MET05650,SHIP05650,26070.71,0,High
MET05651,SHIP05651,27092.86,17,Medium
MET05652,SHIP05652,40875.9,48,Low
MET05653,SHIP05653,35452.02,9,High
MET05654,SHIP05654,4956.45,15,High
MET05655,SHIP05655,311092.53,22,Medium
MET05656,SHIP05656,26726.53,15,Low
MET05657,SHIP05657,22359.25,15,Low
MET05658,SHIP05658,35272.46,22,Low
MET05659,SHIP05659,12888.16,6,Low
MET05660,SHIP05660,35866.27,15,Medium
MET05661,SHIP05661,215894.93,1,Low
MET05662,SHIP05662,96663.08,1,High
MET05663,SHIP05663,17241.7,17,Medium
MET05664,SHIP05664,16922.05,21,High
MET05665,SHIP05665,13001.15,26,High
MET05666,SHIP05666,14928.24,26,Low
MET05667,SHIP05667,21764.39,9,Low
MET05668,SHIP05668,223187.76,22,Low
MET05669,SHIP05669,7794.05,7,Medium
MET05670,SHIP05670,26223.54,18,Low
MET05671,SHIP05671,294272.96,0,High
MET05672,SHIP05672,22471.28,16,High
MET05673,SHIP05673,13856.19,8,Low
MET05674,SHIP05674,139152.86,22,Low
